"","Overall","vs: 0","vs: 1","p","test"
"n","32","18","14","",""
"mpg = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"cyl = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"disp = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"hp = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"drat = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"wt = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"qsec = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"am = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"gear = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
"carb = TRUE (%)","0 (0.0)","0 (0.0)","0 (0.0)","NaN",""
